date,symbol,price,peg_deviation,peg_volatility_7d,peg_volatility_30d,price_low,peg_deviation_low,low_source,source
2021-01-01,BUSD,0.998825680100548,0.0011743198994519,,,0.998825680100548,0.0011743198994519,defillama_daily,defillama_coins_coingecko_daily
2021-01-01,DAI,1.0026058594748208,0.0026058594748208,,,1.0026058594748208,0.0026058594748208,defillama_daily,defillama_coins_coingecko_daily
2021-01-01,FRAX,1.0014771520689871,0.0014771520689871,,,1.0014771520689871,0.0014771520689871,defillama_daily,defillama_coins_coingecko_daily
2021-01-01,TUSD,0.9997233517140152,0.0002766482859848,,,0.9997233517140152,0.0002766482859848,defillama_daily,defillama_coins_coingecko_daily
2021-01-01,USDC,1.0003265967354835,0.0003265967354837,,,1.0003265967354835,0.0003265967354837,defillama_daily,defillama_coins_coingecko_daily
2021-01-01,USDP,1.0001765456616687,0.0001765456616686,,,1.0001765456616687,0.0001765456616686,defillama_daily,defillama_coins_coingecko_daily
2021-01-01,USDT,1.0007250882869214,0.0007250882869214,,,1.0007250882869214,0.0007250882869214,defillama_daily,defillama_coins_coingecko_daily
2021-01-01,UST,0.9913776813477236,0.0086223186522762,,,0.9913776813477236,0.0086223186522762,defillama_daily,defillama_coins_coingecko_daily
2021-01-02,BUSD,1.0026219550280966,0.0026219550280965,,,1.0026219550280966,0.0026219550280965,defillama_daily,defillama_coins_coingecko_daily
2021-01-02,DAI,1.0043738818326065,0.0043738818326064,,,1.0043738818326065,0.0043738818326064,defillama_daily,defillama_coins_coingecko_daily
2021-01-02,FRAX,1.0138899953102514,0.0138899953102513,,,1.0138899953102514,0.0138899953102513,defillama_daily,defillama_coins_coingecko_daily
2021-01-02,USDP,0.999285169648174,0.000714830351826,,,0.999285169648174,0.000714830351826,defillama_daily,defillama_coins_coingecko_daily
2021-01-02,USDT,1.0015781538351485,0.0015781538351482,,,1.0015781538351485,0.0015781538351482,defillama_daily,defillama_coins_coingecko_daily
2021-01-02,UST,1.0036600092700343,0.0036600092700342,,,1.0036600092700343,0.0036600092700342,defillama_daily,defillama_coins_coingecko_daily
2021-01-03,BUSD,1.0045714670506118,0.0045714670506118,0.0029219390858067,,1.0045714670506118,0.0045714670506118,defillama_daily,defillama_coins_coingecko_daily
