date,connectedness
2021-03-02,24.61361690699424
2021-03-03,25.167584112108166
2021-03-04,25.63833877026299
2021-03-05,26.03873409005294
2021-03-06,26.174311235231407
2021-03-07,26.219758562145547
2021-03-08,25.880250238505475
2021-03-09,26.458946171206897
2021-03-10,28.426220607021047
2021-03-11,28.31484777835984
2021-03-12,25.156961831610435
2021-03-13,25.05810348826081
2021-03-14,25.296781264845013
2021-03-15,26.696361690936243
2021-03-16,29.502266154339573
2021-03-17,30.575985645434002
2021-03-18,28.203200060052712
2021-03-19,31.06368604197418
2021-03-20,30.493260959459857
2021-03-21,30.332374731885515
2021-03-22,32.222554882340916
2021-03-23,26.02317189191575
2021-03-24,23.915025280382274
2021-03-25,24.845969444260728
2021-03-26,24.73789058941611
2021-03-27,26.52739355560475
2021-03-28,26.21004627607525
2021-03-29,24.82850224964437
2021-03-30,26.18837563472608
2021-03-31,25.69447786343988
2021-04-01,24.962423891386177
2021-04-02,24.606804457222232
2021-04-03,23.9437126367385
2021-04-04,26.544019759067673
2021-04-05,27.554767734889886
2021-04-06,27.873794241980555
2021-04-07,28.3155130955843
2021-04-08,29.04075113918433
2021-04-09,24.995834153722296
2021-04-10,24.264877877370218
2021-04-11,23.48726398885359
2021-04-12,25.103345185291925
2021-04-13,26.266963946769415
2021-04-14,27.362467189388195
2021-04-15,28.181029278451465
2021-04-16,25.983236436384217
2021-04-17,26.55476835084403
2021-04-18,27.144615790996685
2021-04-19,29.07001366858918
2021-04-20,29.78783013128352
2021-04-21,27.28740191989666
2021-04-22,27.036008470075522
2021-04-23,24.494237089355874
2021-04-24,26.2279847489282
2021-04-25,27.732850583907787
2021-04-26,30.43812593313222
2021-04-27,31.236681638873677
2021-04-28,32.25141411821456
2021-04-29,30.79264512649358
2021-04-30,31.18216265190471
2021-05-01,28.718026373208094
2021-05-02,25.142686833733375
2021-05-03,23.803830512542856
2021-05-04,21.264611597503414
2021-05-05,24.95275537094913
2021-05-06,20.953049803508627
2021-05-07,20.536972614438053
2021-05-08,20.54872298581838
2021-05-09,18.23982214648696
2021-05-10,23.220059663077574
2021-05-11,24.10097955803877
2021-05-12,22.94771825880447
2021-05-13,23.291539981431562
2021-05-14,32.063995900349454
2021-05-15,31.98940267952772
2021-05-16,34.814222892397794
2021-05-17,29.249412339162962
2021-05-18,29.90691019075178
2021-05-19,30.31502777500603
2021-05-20,24.374755980101682
2021-05-21,28.259284697194854
2021-05-22,29.961521789893062
2021-05-23,29.583211647903617
2021-05-24,27.24438891832547
2021-05-25,23.138458011852702
2021-05-26,23.029141230885664
2021-05-27,23.872414679023855
2021-05-28,21.270824942175725
2021-05-29,22.286093413970644
2021-05-30,20.62463479810558
2021-05-31,19.51272672696309
2021-06-01,19.01722634227386
2021-06-02,13.602378943026194
2021-06-03,12.9623480817889
2021-06-04,15.961220509485619
2021-06-05,17.158650498739902
2021-06-06,12.737823274349758
2021-06-07,34.02962283621419
2021-06-08,34.601986073703294
2021-06-09,22.53559031250275
2021-06-10,15.188294274821502
2021-06-11,17.46463353248369
2021-06-12,16.3724451361408
2021-06-13,16.30741039896505
2021-06-14,13.826294139730155
2021-06-15,12.7399624502047
2021-06-16,14.732427647734525
2021-06-17,15.528740199467439
2021-06-18,16.700298666683587
2021-06-19,20.22649043535051
2021-06-20,19.8563165377313
2021-06-21,22.091994902426737
2021-06-22,23.48044797413652
2021-06-23,27.363770836840352
2021-06-24,29.914315841893835
2021-06-25,29.802557789417428
2021-06-26,28.949947274841435
2021-06-27,29.01192916953631
2021-06-28,28.889137289703683
2021-06-29,30.598794280432863
2021-06-30,32.04043433019059
2021-07-01,32.01153079790495
2021-07-02,33.500525078711874
2021-07-03,30.792211914329137
2021-07-04,30.476392991889668
2021-07-05,31.257963636672837
2021-07-06,30.68708737033905
2021-07-07,30.84183225269379
2021-07-08,30.58038524675164
2021-07-09,30.916517337663652
2021-07-10,31.567915114182597
2021-07-11,27.810361601702425
2021-07-12,23.018657469073577
2021-07-13,19.961345065852143
2021-07-14,20.099596097354056
2021-07-15,19.61976780437188
2021-07-16,17.62657485153145
2021-07-17,16.634934188201854
2021-07-18,18.012987632692166
2021-07-19,15.72870440504791
2021-07-20,13.942603765394669
2021-07-21,10.220540269525014
2021-07-22,11.441144847054252
2021-07-23,10.323607940650492
2021-07-24,10.322093506761087
2021-07-25,10.319671059444048
2021-07-26,10.453211859596479
2021-07-27,17.488232539277714
2021-07-28,18.830255450918266
2021-07-29,8.25570136117284
2021-07-30,7.619661438189351
2021-07-31,8.327817863182219
2021-08-01,7.085495054098967
2021-08-02,6.396768980193334
2021-08-03,3.6717214183830116
2021-08-04,6.727113590973611
2021-08-05,7.827537698660059
2021-08-06,8.246201042821777
