date,connectedness
2021-03-02,24.61361690699424
2021-03-07,26.219758562145547
2021-03-12,25.156961831610435
2021-03-17,30.575985645434002
2021-03-22,32.222554882340916
2021-03-27,26.52739355560475
2021-04-01,24.962423891386177
2021-04-06,27.873794241980555
2021-04-11,23.48726398885359
2021-04-16,25.983236436384217
2021-04-21,27.28740191989666
2021-04-26,30.43812593313222
2021-05-01,28.718026373208094
2021-05-06,20.953049803508627
2021-05-11,24.10097955803877
2021-05-16,34.814222892397794
2021-05-21,28.259284697194854
2021-05-26,23.029141230885664
2021-05-31,19.51272672696309
2021-06-05,17.158650498739902
2021-06-10,15.188294274821502
2021-06-15,12.7399624502047
2021-06-20,19.8563165377313
2021-06-25,29.802557789417428
2021-06-30,32.04043433019059
2021-07-05,31.257963636672837
2021-07-10,31.567915114182597
2021-07-15,19.61976780437188
2021-07-20,13.942603765394669
2021-07-25,10.319671059444048
2021-07-30,7.619661438189351
2021-08-04,6.727113590973611
2021-08-09,9.417317675609727
2021-08-14,13.196239663731157
2021-08-19,14.246844154562643
2021-08-24,35.387331688448434
2021-08-29,15.680310731061553
2021-09-03,40.44446600785776
2021-09-08,42.77476724527055
2021-09-13,33.99837252989255
2021-09-18,12.810547249839011
2021-09-23,17.828654930300537
2021-09-28,20.095715394397363
2021-10-03,16.155775794194128
2021-10-08,12.673444146342927
2021-10-13,11.8665753529563
2021-10-18,11.4942155868066
2021-10-23,41.92402844765562
2021-10-28,20.66873902050651
2021-11-02,16.900430342488725
2021-11-07,13.289534337430432
2021-11-12,21.098416937163723
2021-11-17,16.94733193735577
2021-11-22,20.867753448810035
2021-11-27,16.4000013167227
2021-12-02,17.3048605640272
2021-12-07,18.23916282719693
2021-12-12,19.7826677046551
2021-12-17,19.463890065664003
2021-12-22,24.964592627760418
2021-12-27,24.19426347428414
2022-01-01,24.040646770763562
2022-01-06,20.752397375121877
2022-01-11,38.395869846997634
2022-01-16,32.73110149282608
2022-01-21,41.010647288741694
2022-01-26,38.39946429955835
2022-01-31,21.863572701973034
2022-02-05,16.98915615524076
2022-02-10,25.307817888796325
2022-02-15,24.791568553210986
2022-02-20,26.388703454928685
2022-02-25,30.900794794018125
2022-03-02,26.840875299151044
2022-03-07,30.03040369296044
2022-03-12,30.10506419450285
2022-03-17,27.699733559354367
2022-03-22,27.16685080027372
2022-03-27,26.410205243050598
2022-04-01,24.664106478723802
2022-04-06,29.68379684896024
2022-04-11,29.76832651432457
2022-04-16,30.115270672878513
2022-04-21,28.3657791848543
2022-04-26,30.002474664357514
2022-05-01,20.200384045400142
2022-05-06,17.40283318121404
2022-05-11,33.84570093956154
2022-05-16,42.81291478935828
2022-05-21,44.19689276460998
2022-05-26,44.10141433609667
2022-05-31,54.78590983558329
2022-06-05,58.6950297367933
2022-06-10,59.74545944886547
2022-06-15,42.26242151055805
2022-06-20,33.973825710182105
2022-06-25,26.293023063468514
2022-06-30,39.15773416996656
2022-07-05,26.47757175990142
2022-07-10,27.701726453838194
2022-07-15,27.9066396127473
2022-07-20,28.150224019472535
2022-07-25,30.716931854040542
2022-07-30,32.8211722143798
2022-08-04,34.95468187087274
2022-08-09,36.27243298581
2022-08-14,30.552189142268517
2022-08-19,31.960784664359053
2022-08-24,37.817084039009416
2022-08-29,31.189467650047032
2022-09-03,30.521753740756317
2022-09-08,30.138922228765143
2022-09-13,30.566002849651362
2022-09-18,36.78528510643035
2022-09-23,36.19209787098407
2022-09-28,32.20601515641904
2022-10-03,27.141233091670003
2022-10-08,33.78852244949392
2022-10-13,26.98796886658489
2022-10-18,26.837942244114732
2022-10-23,17.186981614222297
2022-10-28,13.107135674468617
2022-11-02,12.334314652052969
2022-11-07,24.75009257291889
2022-11-12,33.82180609170342
2022-11-17,31.19427278532393
2022-11-22,33.07967160282943
2022-11-27,39.56871730810653
2022-12-02,41.93591717198451
2022-12-07,41.66095627202571
2022-12-12,36.41015637498963
2022-12-17,38.6301589677326
2022-12-22,44.880140852293714
2022-12-27,46.50804872284093
2023-01-01,45.234092718069675
2023-01-06,44.26681616059762
2023-01-11,39.64548606001392
2023-01-16,33.56103077091658
2023-01-21,28.20831940462092
2023-01-26,32.55724753541238
2023-01-31,27.838386692897288
2023-02-05,28.77242333887938
2023-02-10,22.212823696471595
2023-02-15,30.18578808128487
2023-02-20,20.498456939086363
2023-02-25,19.00344470161346
